City,"Rates of Vehicle Ownership, 2019","# of Households, 2019","# of Vehicles per Household, 2019"
"Layton, Utah",97.12%,"25,307",2.17
"Moreno Valley, California",97.13%,"52,220",2.27
"Carrollton, Texas",97.18%,"48,963",1.99
"Fountainebleau, Florida",97.22%,"22,887",1.84
"Shawnee, Kansas",97.23%,"24,678",1.96
"Broomfield, Colorado",97.23%,"28,062",1.99
"Waldorf, Maryland",97.24%,"29,863",1.93
"Mount Pleasant, South Carolina",97.28%,"36,111",1.91
"Bolingbrook, Illinois",97.29%,"22,890",2
"Apple Valley, California",97.32%,"23,774",2.05
"Vista, California",97.34%,"31,075",2.1
"Plymouth, Minnesota",97.35%,"30,392",1.85
"Tustin, California",97.36%,"24,125",2.11
"Fishers, Indiana",97.36%,"34,846",1.98
"Huntington Beach, California",97.39%,"75,273",1.99
"Lee's Summit city, Missouri",97.44%,"36,469",2.14
"Weston, Florida",97.48%,"20,420",2.14
"West Jordan, Utah",97.48%,"35,366",2.29
"Corona, California",97.51%,"47,793",2.19
"North Richland Hills, Texas",97.52%,"27,070",1.79
"St. George, Utah",97.53%,"30,816",1.99
"Enterprise, Nevada",97.62%,"65,759",1.92
"Fontana, California",97.66%,"56,457",2.39
"Broken Arrow, Oklahoma",97.68%,"41,730",1.98
"Grand Prairie, Texas",97.70%,"62,030",2.03
"Miramar, Florida",97.71%,"39,853",2.13
"Dale City, Virginia",97.72%,"20,660",2.29
"West Des Moines, Iowa",97.72%,"30,464",1.78
"Overland Park, Kansas",97.73%,"79,436",1.9
"Highlands Ranch, Colorado",97.77%,"37,081",2.13
"Orem, Utah",97.77%,"29,380",2.19
"North Port, Florida",97.80%,"26,005",1.77
"Carlsbad, California",97.83%,"44,966",2.02
"Surprise, Arizona",97.85%,"49,127",1.92
"The Hammocks, Florida",97.86%,"19,617",1.98
"Jupiter, Florida",97.96%,"26,959",1.76
"Centennial, Colorado",97.97%,"40,151",2.09
"Meridian, Idaho",97.97%,"40,194",2.12
"Allen, Texas",98.05%,"34,548",2.1
"Round Rock, Texas",98.06%,"42,580",1.89
"Palm Coast, Florida",98.08%,"34,103",1.86
"Buena Park, California",98.10%,"25,362",2.31
"Wellington, Florida",98.13%,"22,506",1.98
"Hoover, Alabama",98.23%,"32,461",2.02
"Missouri City, Texas",98.28%,"25,225",2.18
"Gilbert, Arizona",98.28%,"81,235",2.13
"Rio Rancho, New Mexico",98.45%,"35,765",2.23
"Cape Coral, Florida",98.49%,"67,176",1.9
"Redondo Beach, California",98.52%,"26,360",1.84
"Rowlett, Texas",98.58%,"21,953",2.36
"Livermore, California",98.69%,"30,545",2.21
"Pearland, Texas",98.69%,"47,106",2.12
"Buckeye, Arizona",98.70%,"21,691",2.23
"Chino Hills, California",98.75%,"26,856",2.34
"Goodyear, Arizona",98.79%,"26,158",2.06
"San Tan Valley, Arizona",98.84%,"30,387",2.03
"Newport Beach, California",98.89%,"37,035",1.93
"Port St. Lucie, Florida",98.93%,"68,484",1.81
"League City, Texas",98.95%,"38,910",2.1
"Ankeny, Iowa",99.00%,"26,150",1.94
"South Hill, Washington",99.00%,"21,371",2.19
"Yorba Linda, California",99.05%,"22,676",2.43
"Maple Grove, Minnesota",99.06%,"28,583",1.96
"Noblesville, Indiana",99.07%,"22,515",2.07
"Leander, Texas",99.14%,"20,548",2.09
"Atascocita, Texas",99.16%,"25,490",2.21
"Centreville, Virginia",99.21%,"23,288",2.08
"Flower Mound, Texas",99.25%,"27,199",2.17
"Doral, Florida",99.34%,"19,722",1.8
"Lehi, Utah",99.41%,"18,411",2.24
"Sammamish, Washington",99.43%,"21,456",2.15
"Cedar Park, Texas",99.45%,"24,034",1.97
